score,brand,asin,title,sales_rank,offer_count,rating,review_count,price_usd,amazon_sells_it,amazon_url
87.45,Philips,B00PGD1TLK,3 x PHILIPS 25w SES E14 Small Screw Cap Pygmy Lamps >300 Degree C Microwave / Oven Rated Light Bulbs Pack,302,10,4.4,4101,8.45,False,https://www.amazon.com/dp/B00PGD1TLK
78.33,Philips,B0CK8FDR1R,"Philips OneBlade 360-Innovation Authentic Replacement Blades with 5-in-1 Comb, for OneBlade Hybrid Electric Shaver & Tri",137,,4.6,6451,,False,https://www.amazon.com/dp/B0CK8FDR1R
77.78,Philips,B0D94HHMGB,"Philips Ultra Alkaline AA/AAA Batteries Combo - Versatile for All Devices, Pack of 40",47,1,4.7,1873,8.27,True,https://www.amazon.com/dp/B0D94HHMGB
77.78,Philips,B0D94JNXXB,"Philips Ultra AA/AAA Alkaline Batteries Combo - Great Value for Mixed Uses, Pack of 96",47,1,4.7,1868,14.39,True,https://www.amazon.com/dp/B0D94JNXXB
77.78,Philips,B0D94J5329,"Philips Ultra AA/AAA Alkaline Batteries Combo - Multi-Use for Various Devices, Pack of 48",48,1,4.7,1873,9.4,True,https://www.amazon.com/dp/B0D94J5329
77.39,Philips,B09ZBJ883F,"Philips LED Classic Spot Light Bulb 2 Pack [Warm White 2700K - GU10] 35W, Non Dimmable. for Home Indoor Lighting",26,1,4.6,2198,9.9,True,https://www.amazon.com/dp/B09ZBJ883F
77.38,Philips,B0D94NPDMD,"Philips Ultra AA Alkaline Batteries - Bulk Pack for High-Usage Devices and Offices, Pack of 100",48,1,4.6,1069,16.85,True,https://www.amazon.com/dp/B0D94NPDMD
77.38,Philips,B0D94JGQGX,"Philips Ultra AA Alkaline Batteries - Long-Lasting Power for Remotes, Toys and Clocks, Pack of 40",48,1,4.6,1069,8.5,True,https://www.amazon.com/dp/B0D94JGQGX
77.33,Philips,B0CVXRFT15,"Philips OneBlade Original 360 Blade Heads, Compatible with all OneBlade and Pro Electric Shaver & Trimmers, Original fro",137,1,4.6,6063,23.33,True,https://www.amazon.com/dp/B0CVXRFT15
76.42,Philips,B0D94DZSHJ,"Philips Ultra AAA Alkaline AAA Batteries - Ideal for Businesses and High-Usage Homes, Pack of 100",45,1,4.6,904,15.9,True,https://www.amazon.com/dp/B0D94DZSHJ
76.42,Philips,B0D94JY3L1,"Philips Ultra AAA Alkaline Batteries - Reliable for Remotes, Toys and Small Gadgets, Pack of 40",48,1,4.6,904,12.99,True,https://www.amazon.com/dp/B0D94JY3L1
76.39,Philips,B09ZBJDMM6,"Philips LED Lighting Classic Spotlight LED Bulb, GU10, Pack of 6",26,2,4.6,1554,22.08,True,https://www.amazon.com/dp/B09ZBJDMM6
76.39,Philips,B09ZBKKGHV,"Philips Classic Spotlight Bulb, GU10 Pack of 6",26,2,4.6,2198,14.03,True,https://www.amazon.com/dp/B09ZBKKGHV
75.84,Philips,B003XQJEYQ,PHILIPS 9V Zinc Battery - 6F22 - Shelf Life up to 5 Years,328,2,4.5,1008,2.46,True,https://www.amazon.com/dp/B003XQJEYQ
75.48,Philips,B09ZBJJTLR,"PHILIPS LED Frosted A60 Light Bulb, E27, 3 Pack",251,2,4.5,961,7.05,True,https://www.amazon.com/dp/B09ZBJJTLR
75.39,Philips,B09ZBKRTZM,"Philips LED Classic Spot Light Bulb 3 Pack [Warm White 2700K - GU10] 35W, Non Dimmable. for Home Indoor Lighting",26,3,4.6,2198,9.9,True,https://www.amazon.com/dp/B09ZBKRTZM
75.3,Philips,B0766441R8,"PHILIPS Classic Spotlight LED Bulb, GU10, Pack of 6",205,3,4.6,7349,17.99,True,https://www.amazon.com/dp/B0766441R8
75.27,Philips,B0BWFLJBNJ,"Philips Avent Natural Response Glass Baby Bottles 8oz/240 ml with Medium Flow Teats (Flow 3), 2 Pack, SCY933/02",260,3,4.6,2067,21.99,True,https://www.amazon.com/dp/B0BWFLJBNJ
75.23,Philips,B09ZBJT5KB,"Philips LED Classic Spot Light Bulb 3 Pack [Warm White 2700K - GU10] 50W, Non Dimmable. for Home Indoor Lighting, Value ",26,2,4.5,924,9.27,True,https://www.amazon.com/dp/B09ZBJT5KB
75.2,Philips,B09ZBJPNK3,"Philips LED Classic Spot Light Bulb 2 Pack [Warm White 2700K - GU10] 50W, Non Dimmable. for Home Indoor Lighting, Value ",32,2,4.5,922,6.97,True,https://www.amazon.com/dp/B09ZBJPNK3
74.5,Philips,B0DXLBZF4Q,"Philips OneBlade Hybrid 360 Blade Technology Electric Shaver for Face & Body, Beard Trimmer/Groomer with 3 x 360 Blade, ",199,3,4.4,12157,39.99,True,https://www.amazon.com/dp/B0DXLBZF4Q
74.28,Philips,B0BWFJVGJ4,"Philips Avent Natural Response Glass Baby Bottle 4oz/120 ml with Slow Flow Teat (Flow 2), SCY930/01",243,4,4.6,1068,11.99,True,https://www.amazon.com/dp/B0BWFJVGJ4
73.07,Philips,B09ZBJRW9K,"Philips LED Frosted A67 Light Bulb 2 Pack [Warm White 2700K - E27 Edison Screw] 100W, Non Dimmable. for Home Indoor Ligh",251,2,4.5,720,7.37,True,https://www.amazon.com/dp/B09ZBJRW9K
